customerID,SeniorCitizen,Tenure,Contract,InternetService,TechSupport,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportTickets,LatePayments,Churn
C000069,0,44,Two year,Fiber optic,No,No,Bank transfer,18.0,799.41,0,0,No
C000070,1,11,Month-to-month,No internet,Yes,Yes,Bank transfer,52.96,600.33,0,0,Yes
C000071,1,52,One year,DSL,No,Yes,Bank transfer,45.05,2345.7,1,0,No
C000072,0,9,Month-to-month,No internet,Yes,No,Mailed check,63.28,526.78,0,1,No
C000073,0,36,Two year,Fiber optic,No,Yes,Bank transfer,35.82,1298.92,0,1,No
C000074,0,8,One year,DSL,No,Yes,Electronic check,34.99,285.75,2,0,Yes
C000075,0,51,Month-to-month,Fiber optic,No,Yes,Mailed check,72.42,4106.55,1,1,No
C000076,0,1,Two year,Fiber optic,No,No,Bank transfer,112.84,125.4,0,0,No
C000077,0,20,Two year,DSL,No,No,Bank transfer,35.92,755.66,1,1,No
C000078,0,7,Two year,DSL,Yes,Yes,Electronic check,107.33,794.97,2,2,No
C000079,0,24,One year,No internet,No,No,Electronic check,91.07,1843.34,1,2,No
C000080,0,26,Month-to-month,DSL,Yes,No,Bank transfer,92.21,2317.33,1,1,No
C000081,0,36,Month-to-month,Fiber optic,Yes,No,Electronic check,100.08,3360.89,0,3,Yes
C000082,0,8,Two year,Fiber optic,No,No,Credit card,56.42,467.36,1,0,No
C000083,0,14,One year,No internet,Yes,No,Electronic check,95.29,1376.15,3,2,No
C000084,0,16,Month-to-month,Fiber optic,No,No,Credit card,29.11,480.7,2,0,No
C000085,0,20,Two year,Fiber optic,Yes,Yes,Mailed check,47.0,972.53,1,0,No
C000086,0,11,One year,No internet,No,Yes,Credit card,75.34,846.23,0,0,No
C000087,0,68,One year,Fiber optic,No,Yes,Electronic check,86.43,5833.4,0,0,No
C000088,1,9,Month-to-month,Fiber optic,No,Yes,Electronic check,32.49,281.8,1,0,No
C000089,0,49,Month-to-month,DSL,No,Yes,Bank transfer,19.29,985.16,0,0,No
C000090,0,14,Month-to-month,Fiber optic,No,No,Credit card,77.39,1083.07,3,0,No
C000091,0,14,Month-to-month,Fiber optic,No,Yes,Electronic check,74.41,1108.07,3,1,Yes
C000092,0,10,Two year,No internet,No,No,Mailed check,84.53,822.04,2,2,No
C000093,1,6,Month-to-month,Fiber optic,No,No,Bank transfer,65.17,384.3,0,3,No
C000094,0,18,Month-to-month,DSL,Yes,Yes,Electronic check,34.24,586.56,1,0,No
C000095,0,21,Month-to-month,Fiber optic,Yes,Yes,Mailed check,95.47,2083.46,0,1,No
C000096,0,15,One year,No internet,Yes,No,Bank transfer,86.58,1233.1,0,0,No
C000097,0,72,Month-to-month,DSL,No,Yes,Electronic check,71.37,4399.16,1,0,No
C000098,0,16,Month-to-month,DSL,Yes,No,Electronic check,121.78,1851.62,0,1,Yes
C000099,0,30,Month-to-month,DSL,No,Yes,Credit card,73.09,2099.01,1,1,No
C000100,1,11,Month-to-month,No internet,Yes,No,Electronic check,105.09,1154.59,2,1,Yes
C000101,0,17,Two year,DSL,No,Yes,Credit card,63.69,1058.58,1,1,No
C000102,0,13,One year,DSL,No,No,Credit card,18.0,251.82,0,3,No
C000103,0,24,Month-to-month,DSL,No,Yes,Mailed check,37.98,928.75,0,0,No
C000104,1,18,Month-to-month,No internet,No,Yes,Credit card,18.0,342.9,1,0,No
C000105,0,30,Two year,Fiber optic,No,Yes,Electronic check,61.22,1991.17,0,0,No
C000106,0,4,Month-to-month,Fiber optic,No,No,Bank transfer,96.66,411.05,0,1,Yes
C000107,0,23,One year,Fiber optic,No,Yes,Mailed check,24.24,588.53,1,1,No
C000108,0,23,One year,Fiber optic,Yes,No,Electronic check,85.29,1904.83,0,1,No
C000109,0,30,Month-to-month,Fiber optic,No,Yes,Credit card,60.15,1852.59,0,2,No
C000110,0,20,Month-to-month,Fiber optic,Yes,No,Electronic check,89.94,1787.77,2,2,Yes
C000111,0,72,One year,Fiber optic,No,No,Credit card,76.57,5771.49,2,1,No
C000112,0,16,Two year,DSL,No,No,Electronic check,42.1,649.9,1,1,No
C000113,0,34,Month-to-month,DSL,Yes,Yes,Bank transfer,81.7,2889.29,2,1,No
C000114,0,6,Two year,Fiber optic,Yes,Yes,Electronic check,66.26,385.55,0,0,No
C000115,0,7,Month-to-month,DSL,Yes,No,Mailed check,89.76,656.83,3,1,Yes
C000116,1,11,One year,DSL,No,No,Credit card,116.0,1371.08,1,0,No
C000117,0,16,Two year,No internet,No,No,Credit card,62.28,1071.02,1,0,No
C000118,0,10,Month-to-month,Fiber optic,Yes,Yes,Electronic check,108.42,1057.88,1,2,Yes
C000119,0,20,Month-to-month,DSL,No,Yes,Electronic check,64.82,1401.02,1,4,No
C000120,1,35,Two year,Fiber optic,No,Yes,Mailed check,82.59,2591.16,2,0,No
C000121,1,15,Month-to-month,Fiber optic,No,No,Bank transfer,72.03,1092.02,1,0,No
C000122,0,18,One year,DSL,Yes,No,Electronic check,50.42,829.9,3,2,No
C000123,0,37,One year,DSL,No,Yes,Credit card,70.57,2615.21,0,1,Yes
C000124,1,11,Month-to-month,Fiber optic,Yes,Yes,Credit card,56.08,572.93,2,0,No
C000125,0,48,One year,DSL,No,No,Credit card,81.55,3906.78,2,1,No
C000126,0,7,Month-to-month,No internet,No,Yes,Electronic check,40.77,273.28,0,1,Yes
C000127,0,30,Month-to-month,Fiber optic,Yes,Yes,Electronic check,43.12,1394.12,0,2,No
C000128,1,72,Month-to-month,Fiber optic,No,Yes,Credit card,89.22,7270.74,1,1,No
C000129,0,25,Month-to-month,No internet,No,No,Mailed check,80.85,2128.75,0,1,Yes
C000130,0,29,Month-to-month,DSL,Yes,Yes,Electronic check,81.63,2517.4,1,0,No
C000131,0,10,Two year,DSL,No,No,Electronic check,81.62,840.28,2,0,No
C000132,1,17,One year,No internet,No,Yes,Electronic check,93.6,1584.76,1,0,Yes
C000133,0,56,Month-to-month,Fiber optic,No,No,Bank transfer,79.36,4389.72,2,0,No
C000134,0,18,Month-to-month,DSL,Yes,Yes,Bank transfer,90.54,1516.92,2,0,No
C000135,0,4,Two year,Fiber optic,Yes,Yes,Mailed check,47.94,182.86,1,1,No
C000136,0,5,Month-to-month,Fiber optic,No,Yes,Credit card,80.39,421.9,1,0,No
C000137,0,24,Two year,Fiber optic,Yes,Yes,Mailed check,48.9,1145.99,3,2,No
C000138,0,4,Month-to-month,DSL,Yes,No,Mailed check,36.37,149.09,0,0,No
C000139,0,6,Month-to-month,DSL,No,No,Mailed check,61.79,351.23,1,1,No
C000140,0,25,Two year,Fiber optic,No,No,Mailed check,83.75,2388.26,1,0,No
C000141,1,4,One year,DSL,No,No,Mailed check,67.99,294.83,2,0,No
C000142,0,12,One year,DSL,No,Yes,Credit card,112.29,1342.73,0,1,No
C000143,0,10,Month-to-month,Fiber optic,No,No,Mailed check,84.55,943.01,2,0,Yes
C000144,1,6,Two year,Fiber optic,Yes,Yes,Electronic check,78.23,484.91,0,0,Yes
C000145,0,8,Month-to-month,DSL,Yes,No,Mailed check,70.39,601.69,2,0,Yes
C000146,0,12,Two year,No internet,No,No,Credit card,33.8,402.63,1,4,No
C000147,0,27,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,68.87,,2,0,No
C000148,1,38,Month-to-month,No internet,No,Yes,Electronic check,68.17,2819.21,1,1,Yes
C000149,1,32,Month-to-month,Fiber optic,No,Yes,Mailed check,111.43,3733.65,1,0,Yes
C000150,0,61,Two year,Fiber optic,No,No,Mailed check,47.74,3065.29,2,1,No
C000151,0,60,Month-to-month,Fiber optic,No,No,Electronic check,64.43,4110.95,1,0,No
C000152,0,51,Two year,Fiber optic,Yes,Yes,Credit card,49.42,2546.7,3,1,No
C000153,0,26,One year,DSL,No,No,Credit card,71.33,1808.29,1,0,No
C000154,0,38,One year,DSL,No,Yes,Electronic check,24.16,941.74,3,2,No
C000155,0,12,One year,No internet,Yes,Yes,Bank transfer,75.02,807.18,1,2,No
C000156,0,36,Two year,DSL,Yes,No,Electronic check,67.92,2464.99,2,0,No
C000157,0,34,Month-to-month,Fiber optic,Yes,No,Electronic check,72.14,2626.41,2,0,No
C000158,0,20,Month-to-month,Fiber optic,Yes,Yes,Electronic check,130.0,2571.57,2,1,Yes
C000159,0,36,Month-to-month,DSL,Yes,Yes,Electronic check,65.49,2630.01,1,2,No
C000160,0,22,Month-to-month,Fiber optic,No,Yes,Bank transfer,79.74,1722.48,1,0,No
C000161,0,25,Month-to-month,No internet,No,No,Mailed check,67.09,1576.88,3,0,No
C000162,1,13,Two year,DSL,No,No,Bank transfer,94.89,1280.56,4,0,No
C000163,0,10,Two year,DSL,No,No,Credit card,123.86,1229.17,0,2,No
C000164,0,12,Month-to-month,No internet,No,Yes,Bank transfer,110.2,1375.39,1,2,No
C000165,0,45,One year,DSL,Yes,No,Electronic check,75.97,3295.14,2,0,No
C000166,0,6,Month-to-month,DSL,Yes,Yes,Electronic check,35.62,221.43,1,0,No
C000167,0,33,One year,No internet,No,Yes,Bank transfer,78.47,2614.59,0,0,No
C000168,0,25,One year,DSL,No,Yes,Bank transfer,25.97,660.97,0,1,No
C000169,0,5,Month-to-month,No internet,No,Yes,Credit card,45.45,240.92,0,0,No
C000170,0,17,Two year,No internet,No,No,Electronic check,52.69,856.74,0,2,No
C000171,0,10,Month-to-month,No internet,No,Yes,Electronic check,39.61,393.22,1,0,Yes
C000172,0,14,One year,DSL,No,No,Credit card,67.55,1011.55,2,1,No
C000173,0,58,One year,DSL,Yes,No,Bank transfer,58.36,3644.09,2,1,No
C000174,0,22,Month-to-month,Fiber optic,No,No,Electronic check,48.87,1124.63,3,0,No
C000175,0,45,Month-to-month,No internet,No,No,Bank transfer,76.91,3238.61,1,0,No
C000176,0,7,Month-to-month,DSL,No,No,Electronic check,49.01,348.21,1,2,No
C000177,0,5,One year,DSL,No,Yes,Bank transfer,99.83,488.39,2,0,No
C000178,0,12,Two year,DSL,No,Yes,Bank transfer,83.45,984.95,2,0,No
C000179,0,15,One year,DSL,No,Yes,Bank transfer,56.53,771.56,2,2,Yes
C000180,0,20,Month-to-month,Fiber optic,Yes,No,Electronic check,78.53,1377.21,0,0,No
C000181,0,7,Two year,Fiber optic,No,Yes,Credit card,50.27,373.64,2,0,No
C000182,0,72,Two year,Fiber optic,No,No,Credit card,51.58,3903.75,0,2,No
C000183,0,33,Two year,DSL,No,Yes,Credit card,93.2,,0,1,No
C000184,0,37,Month-to-month,DSL,No,No,Bank transfer,27.13,984.77,2,1,No
C000185,0,34,Two year,DSL,Yes,Yes,Electronic check,79.03,2702.73,1,3,No
C000186,0,5,Month-to-month,DSL,Yes,Yes,Credit card,115.79,560.02,2,0,No
C000187,0,16,Month-to-month,DSL,Yes,No,Bank transfer,18.0,297.34,1,0,No
C000188,0,21,Month-to-month,No internet,No,No,Bank transfer,127.87,2628.19,0,2,No
C000189,1,20,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,18.68,343.18,0,2,No
C000190,0,27,Month-to-month,DSL,No,No,Electronic check,18.0,474.78,1,0,No
C000191,0,11,Month-to-month,Fiber optic,No,No,Credit card,18.0,,2,0,No
C000192,0,45,One year,No internet,No,Yes,Bank transfer,37.79,1609.83,2,0,No
C000193,0,10,Month-to-month,Fiber optic,Yes,No,Electronic check,52.17,546.28,1,1,No
C000194,0,15,One year,Fiber optic,No,Yes,Mailed check,18.95,302.74,0,0,No
C000195,0,19,Month-to-month,Fiber optic,Yes,No,Electronic check,62.03,1223.86,1,1,Yes
C000196,0,38,One year,Fiber optic,No,No,Mailed check,87.64,3449.07,2,1,No
C000197,1,6,Month-to-month,DSL,No,Yes,Credit card,47.38,283.24,0,1,No
C000198,0,11,Month-to-month,No internet,No,No,Mailed check,70.06,797.32,2,1,No
C000199,0,3,Two year,No internet,No,Yes,Mailed check,82.65,237.53,1,2,No
C000200,0,11,Month-to-month,Fiber optic,No,Yes,Credit card,110.92,1050.5,2,1,Yes
C000201,0,9,Two year,No internet,No,Yes,Electronic check,64.77,559.33,2,0,No
C000202,0,39,One year,Fiber optic,Yes,Yes,Electronic check,85.22,3618.81,1,0,No
C000203,0,10,One year,Fiber optic,No,No,Bank transfer,80.01,851.01,1,2,Yes
C000204,0,6,Month-to-month,DSL,No,Yes,Electronic check,68.33,384.33,0,3,Yes
C000205,0,32,One year,DSL,Yes,Yes,Bank transfer,58.33,1843.98,0,0,No
C000206,0,41,Month-to-month,DSL,Yes,Yes,Credit card,76.18,2992.19,0,0,Yes
C000207,0,32,Two year,No internet,No,Yes,Bank transfer,84.56,2516.45,0,0,No
C000208,0,12,Two year,No internet,No,Yes,Electronic check,33.48,394.22,1,1,No
C000209,0,26,Two year,No internet,No,Yes,Electronic check,57.49,1567.0,3,2,No
C000210,1,8,Month-to-month,No internet,Yes,No,Mailed check,75.57,607.09,3,1,Yes
C000211,0,17,Month-to-month,No internet,No,No,Credit card,74.54,,2,1,No
C000212,0,31,Month-to-month,Fiber optic,No,Yes,Bank transfer,75.38,2034.62,1,0,No
C000213,1,45,Month-to-month,Fiber optic,No,No,Bank transfer,108.53,5528.7,0,0,No
C000214,0,7,One year,DSL,Yes,No,Bank transfer,93.65,610.29,1,1,No
C000215,1,11,One year,Fiber optic,No,Yes,Electronic check,35.0,385.69,3,0,No
C000216,0,21,Month-to-month,DSL,No,Yes,Bank transfer,107.21,2362.98,3,0,Yes
C000217,0,40,Two year,No internet,Yes,Yes,Electronic check,49.0,1982.1,0,1,No
C000218,1,27,One year,No internet,No,No,Mailed check,45.79,1298.79,2,2,No
C000219,0,17,Month-to-month,DSL,No,Yes,Credit card,94.4,1381.7,2,0,No
C000220,0,13,One year,Fiber optic,Yes,Yes,Electronic check,58.52,720.88,4,1,No
C000221,0,48,Two year,No internet,No,Yes,Bank transfer,23.84,1098.08,1,1,No
C000222,0,27,Month-to-month,DSL,No,Yes,Bank transfer,82.67,2052.23,2,2,No
C000223,0,59,One year,Fiber optic,Yes,No,Electronic check,78.29,4181.67,4,0,No
C000224,0,11,One year,Fiber optic,Yes,Yes,Credit card,80.56,932.8,3,1,No
C000225,0,32,One year,Fiber optic,No,Yes,Electronic check,30.97,915.21,0,0,No
C000226,1,52,Month-to-month,No internet,No,Yes,Credit card,87.31,4838.38,3,0,No
C000227,0,14,One year,Fiber optic,Yes,Yes,Electronic check,51.02,752.72,0,2,No
C000228,0,72,One year,DSL,Yes,No,Bank transfer,89.77,6327.9,2,0,No
C000229,0,18,Two year,Fiber optic,Yes,Yes,Credit card,35.05,,0,0,No
C000230,0,10,Two year,Fiber optic,No,No,Credit card,42.24,407.38,1,2,No
C000231,1,18,Month-to-month,DSL,No,No,Mailed check,18.0,309.99,0,0,No
C000232,0,38,One year,DSL,Yes,Yes,Electronic check,46.88,1711.08,1,1,No
C000233,0,16,Two year,Fiber optic,No,Yes,Bank transfer,93.89,1431.88,1,1,No
C000234,0,16,Two year,DSL,Yes,Yes,Bank transfer,72.73,1166.88,4,0,No
C000235,1,20,Month-to-month,DSL,No,Yes,Electronic check,52.22,1025.96,0,0,No
C000236,0,21,Month-to-month,Fiber optic,No,Yes,Mailed check,101.67,2127.25,2,1,No
C000237,1,17,One year,No internet,Yes,Yes,Credit card,72.0,1221.69,0,1,No
C000238,1,29,Month-to-month,Fiber optic,Yes,No,Mailed check,86.34,2686.3,0,0,Yes
C000239,0,6,One year,Fiber optic,Yes,Yes,Electronic check,75.31,506.16,4,2,Yes
C000240,0,16,Two year,Fiber optic,Yes,No,Bank transfer,64.07,1025.86,3,2,No
C000241,0,72,Month-to-month,Fiber optic,No,No,Mailed check,70.17,5026.5,2,1,Yes
C000242,0,27,Month-to-month,Fiber optic,Yes,No,Credit card,77.81,2080.15,1,1,Yes
C000243,0,53,Month-to-month,DSL,Yes,No,Mailed check,95.57,5355.3,1,0,No
C000244,0,13,One year,No internet,Yes,No,Electronic check,82.05,1110.78,0,0,No
C000245,0,25,Month-to-month,DSL,No,No,Electronic check,89.23,2245.08,2,0,Yes
C000246,0,27,Month-to-month,DSL,No,No,Electronic check,38.23,1023.11,1,0,No
C000247,0,34,Month-to-month,Fiber optic,Yes,No,Credit card,18.6,654.02,0,1,No
C000248,1,1,One year,Fiber optic,No,Yes,Mailed check,74.69,79.35,1,0,Yes
C000249,0,23,Two year,Fiber optic,No,Yes,Electronic check,70.55,1580.16,1,1,No
C000250,0,38,Month-to-month,DSL,No,No,Credit card,77.81,3032.23,1,1,No
C000251,0,28,Month-to-month,No internet,No,No,Electronic check,40.89,1020.64,1,0,No
C000252,0,5,Month-to-month,Fiber optic,No,No,Bank transfer,70.18,336.83,1,0,Yes
C000253,0,8,Month-to-month,No internet,Yes,Yes,Credit card,39.4,324.18,0,1,No
C000254,0,25,Month-to-month,Fiber optic,No,No,Credit card,68.7,1554.85,5,0,No
C000255,0,36,Month-to-month,DSL,No,Yes,Electronic check,64.62,2115.79,4,0,Yes
C000256,0,20,Month-to-month,DSL,Yes,Yes,Mailed check,62.03,1259.02,2,2,No
C000257,1,12,Month-to-month,Fiber optic,No,No,Electronic check,74.42,787.51,0,0,Yes
C000258,0,7,One year,Fiber optic,Yes,No,Bank transfer,53.74,368.85,0,0,Yes
C000259,1,22,One year,Fiber optic,No,Yes,Electronic check,65.93,1630.68,1,0,No
C000260,0,39,Month-to-month,DSL,Yes,Yes,Electronic check,84.32,3356.93,0,1,No
C000261,0,41,Month-to-month,DSL,No,Yes,Electronic check,105.06,4759.1,0,1,Yes
C000262,0,65,One year,Fiber optic,No,No,Electronic check,76.87,5462.37,2,0,No
C000263,0,14,Month-to-month,DSL,No,Yes,Bank transfer,87.35,1167.33,0,1,Yes
C000264,0,6,Month-to-month,No internet,Yes,No,Electronic check,81.37,482.37,1,2,No
C000265,0,8,Month-to-month,DSL,No,Yes,Mailed check,109.06,892.03,0,0,Yes
C000266,0,11,Month-to-month,No internet,Yes,Yes,Electronic check,120.0,1407.06,3,1,Yes
C000267,0,1,Two year,No internet,No,Yes,Mailed check,50.19,54.5,1,0,No
C000268,1,20,Month-to-month,Fiber optic,Yes,No,Electronic check,84.16,1761.53,2,2,Yes
C000269,0,12,Month-to-month,Fiber optic,Yes,No,Mailed check,74.19,908.24,6,3,Yes
C000270,1,14,Two year,Fiber optic,Yes,No,Bank transfer,106.94,1402.89,3,0,No
C000271,1,16,One year,Fiber optic,No,No,Electronic check,18.0,306.14,1,2,No
C000272,0,21,Month-to-month,No internet,Yes,No,Bank transfer,50.02,1014.2,2,3,No
C000273,0,7,Month-to-month,No internet,No,Yes,Electronic check,22.18,164.46,0,0,No
C000274,0,5,Two year,DSL,Yes,Yes,Electronic check,101.71,549.34,1,0,No
C000275,0,9,Month-to-month,No internet,No,No,Electronic check,73.63,605.47,0,2,Yes
C000276,0,31,One year,DSL,No,Yes,Credit card,83.51,2901.97,2,2,No
C000277,0,27,Month-to-month,DSL,No,Yes,Electronic check,77.03,2056.49,1,0,Yes
C000278,1,27,One year,Fiber optic,Yes,Yes,Electronic check,73.72,2119.81,0,1,No
C000279,0,7,One year,DSL,No,Yes,Credit card,77.04,570.0,3,1,No
C000280,0,15,Two year,Fiber optic,No,Yes,Electronic check,55.91,932.42,1,0,No
C000281,0,24,One year,Fiber optic,No,Yes,Electronic check,18.0,462.88,3,1,No
C000282,0,8,Month-to-month,Fiber optic,No,Yes,Electronic check,74.87,657.97,1,1,Yes
C000283,0,63,Month-to-month,No internet,Yes,Yes,Credit card,64.98,4302.24,1,1,No
C000284,0,43,Month-to-month,No internet,Yes,Yes,Electronic check,52.06,2134.38,1,0,No
C000285,1,11,One year,DSL,No,No,Credit card,51.04,555.56,4,2,No
C000286,0,16,Month-to-month,DSL,No,Yes,Electronic check,99.92,1665.94,0,0,Yes
C000287,0,15,Month-to-month,Fiber optic,No,Yes,Bank transfer,47.59,755.11,2,1,No
C000288,0,7,Month-to-month,DSL,No,Yes,Credit card,39.5,279.16,1,1,No
C000289,0,7,One year,Fiber optic,No,No,Bank transfer,83.41,559.23,0,0,No
C000290,1,37,Two year,Fiber optic,No,Yes,Mailed check,103.92,3558.79,1,2,No
C000291,0,51,Month-to-month,DSL,Yes,No,Mailed check,33.43,1715.18,0,1,No
C000292,0,11,Month-to-month,Fiber optic,No,Yes,Electronic check,41.17,534.9,1,1,No
C000293,0,18,One year,Fiber optic,Yes,Yes,Credit card,39.61,708.38,0,0,No
C000294,0,9,One year,Fiber optic,Yes,No,Mailed check,76.22,666.4,1,0,No
C000295,0,2,One year,DSL,Yes,No,Bank transfer,80.71,167.43,1,0,No
C000296,0,4,Two year,Fiber optic,Yes,No,Bank transfer,102.46,428.18,0,1,No
C000297,0,7,Two year,DSL,Yes,Yes,Credit card,65.01,459.02,0,2,No
C000298,0,14,Two year,No internet,No,No,Electronic check,60.07,740.66,0,1,No
C000299,0,46,One year,Fiber optic,No,Yes,Electronic check,51.05,2254.5,2,2,No
C000300,0,5,Month-to-month,DSL,Yes,Yes,Credit card,95.21,458.5,1,0,Yes
C000301,0,11,One year,No internet,Yes,No,Mailed check,51.14,584.15,1,0,No
C000302,0,35,Month-to-month,Fiber optic,No,Yes,Bank transfer,45.21,1524.2,2,1,No
C000303,1,19,One year,DSL,Yes,No,Bank transfer,60.51,1134.69,0,1,No
C000304,0,4,One year,Fiber optic,No,Yes,Credit card,65.64,245.36,2,1,No
